index;task;image;image_lure;object;object_lure
1;watch;animal_1;animal_5;Lantern_1;Lantern_2
2;photo;animal_6;animal_2;Clock_1;Clock_2
3;watch;animal_3;animal_7;Football_2;Football_1
4;photo;animal_8;animal_4;Wheel_2;Wheel_1
5;watch;groupsofpeople_1;groupsofpeople_5;Tv_1;Tv_2
6;photo;groupsofpeople_6;groupsofpeople_2;Cart_1;Cart_2
7;watch;groupsofpeople_3;groupsofpeople_7;Coatstand_2;Coatstand_1
8;photo;groupsofpeople_8;groupsofpeople_4;Phone_2;Phone_1
9;watch;landscape_1;landscape_5;Head_1;Head_2
10;photo;landscape_6;landscape_2;Camera_1;Camera_2
11;watch;landscape_3;landscape_7;Animal_2;Animal_1
12;photo;landscape_8;landscape_4;Fish_2;Fish_1
13;watch;portrait_female_1;portrait_female_5;Toolchest_1;Toolchest_2
14;photo;portrait_female_6;portrait_female_2;Plant_1;Plant_2
15;watch;portrait_female_3;portrait_female_7;Trunk_2;Trunk_1
16;photo;portrait_female_8;portrait_female_4;Barrel_2;Barrel_1
17;watch;portrait_male_1;portrait_male_5;Vase_Ceramic_1;Vase_Ceramic_2
18;photo;portrait_male_6;portrait_male_2;Crate_1;Crate_2
19;watch;portrait_male_3;portrait_male_7;Chest_2;Chest_1
20;photo;portrait_male_8;portrait_male_4;Tank_2;Tank_1
21;watch;stilllife_1;stilllife_5;Vase_Vrass_1;Vase_Brass_2
22;photo;stilllife_6;stilllife_2;Buoy_1;Buoy_2
23;watch;stilllife_3;stilllife_7;Screen_2;Screen_1
24;photo;stilllife_8;stilllife_4;Jerrycan_2;Jerrycan_1
